import time: self [us] | cumulative | imported package
import time:      1996 |       1996 |   chalice
import time:      2120 |       2120 |   clickhouse_driver
import time:      1843 |       1843 |   cohere
import time:      3887 |       3887 |   django
import time:      1883 |       1883 |   falcon
import time:      5136 |       5136 |     sentry_sdk.integrations._asgi_common
import time:      3869 |       3869 |     sentry_sdk.integrations.asgi
import time:      4984 |       4984 |     starlette
import time:      1273 |       1273 |         shlex
import time:      5873 |       5873 |           starlette.exceptions
import time:      3513 |       9385 |         starlette.concurrency
import time:      3775 |       3775 |         starlette.types
import time:      4653 |      19085 |       starlette.datastructures
import time:      4097 |       4097 |       starlette.middleware
import time:      3910 |       3910 |         starlette._utils
import time:      4847 |       4847 |             python_multipart
import time:      1885 |       1885 |             multipart
import time:      4666 |      11397 |           starlette.formparsers
import time:      1734 |       1734 |             python_multipart
import time:        30 |       1764 |           python_multipart.multipart
import time:      1785 |       1785 |             multipart
import time:        29 |       1813 |           multipart.multipart
import time:      3927 |      18899 |         starlette.requests
import time:      6166 |       6166 |           starlette.background
import time:      4220 |      10385 |         starlette.responses
import time:      7994 |      41187 |       starlette.middleware.errors
import time:      5550 |       5550 |           starlette.websockets
import time:      3705 |       9254 |         starlette._exception_handler
import time:      4095 |      13349 |       starlette.middleware.exceptions
import time:      4020 |       4020 |         starlette.convertors
import time:      5601 |       9621 |       starlette.routing
import time:      8405 |      95741 |     starlette.applications
import time:      7250 |       7250 |       starlette.authentication
import time:      3910 |      11159 |     starlette.middleware.authentication
import time:      2329 |       2329 |     python_multipart
import time:      1733 |       1733 |     multipart
import time:      5473 |     130421 |   sentry_sdk.integrations.starlette
import time:      1739 |       1739 |   fastapi
import time:      4980 |       4980 |   flask_login
import time:      1939 |       1939 |   gql
import time:       866 |        866 |     google.genai
import time:        34 |        900 |   google.genai.models
import time:      2016 |       2016 |     graphene
import time:        44 |       2060 |   graphene.types
import time:      4525 |       4525 |   httpx2
import time:      1799 |       1799 |     huey
import time:        37 |       1835 |   huey.api
import time:      2073 |       2073 |       huggingface_hub
import time:        21 |       2094 |     huggingface_hub.inference
import time:        25 |       2118 |   huggingface_hub.inference._client
import time:      2373 |       2373 |     langchain_core
import time:        47 |       2420 |   langchain_core.agents
import time:      2197 |       2197 |       langchain_core
import time:        50 |       2246 |     langchain_core.agents
import time:      6433 |       8679 |   sentry_sdk.integrations.langchain
import time:      1889 |       1889 |   litestar
import time:      3751 |       3751 |   loguru
import time:      3035 |       3035 |       mcp
import time:        25 |       3059 |     mcp.server
import time:        27 |       3086 |   mcp.server.lowlevel
import time:      6307 |       6307 |   sentry_sdk.ai._openai_completions_api
import time:      3815 |       3815 |   sentry_sdk.ai._openai_responses_api
import time:      1933 |       1933 |   openai
import time:      1612 |       1612 |   openai
import time:      1585 |       1585 |   openai
import time:      3625 |       3625 |           sentry_sdk.integrations.openai_agents.consts
import time:      5547 |       9172 |         sentry_sdk.integrations.openai_agents.spans.agent_workflow
import time:      1995 |       1995 |             agents
import time:      4056 |       6051 |           sentry_sdk.integrations.openai_agents.utils
import time:      6454 |      12504 |         sentry_sdk.integrations.openai_agents.spans.ai_client
import time:      6563 |      28238 |       sentry_sdk.integrations.openai_agents.spans
import time:      5428 |      33666 |     sentry_sdk.integrations.openai_agents.patches.agent_run
import time:      5818 |      39484 |   sentry_sdk.integrations.openai_agents.patches
import time:      3608 |       3608 |   pydantic_ai
import time:      1902 |       1902 |   pymongo
import time:      1813 |       1813 |     pyramid
import time:        32 |       1844 |   pyramid.httpexceptions
import time:      2141 |       2141 |   quart_auth
import time:      1668 |       1668 |   quart
import time:      7697 |       7697 |   sentry_sdk.integrations.redis.consts
import time:      3911 |       3911 |         sentry_sdk.integrations.redis.modules
import time:      4695 |       4695 |         sentry_sdk.integrations.redis.utils
import time:      8197 |      16802 |       sentry_sdk.integrations.redis.modules.caches
import time:      4129 |       4129 |       sentry_sdk.integrations.redis.modules.queries
import time:      3806 |      24736 |     sentry_sdk.integrations.redis._sync_common
import time:      4110 |      28846 |   sentry_sdk.integrations.redis.rb
import time:      7491 |       7491 |   sentry_sdk.integrations.redis.redis
import time:      4403 |       4403 |   sentry_sdk.integrations.redis.redis_cluster
import time:      3662 |       3662 |   sentry_sdk.integrations.redis.redis_py_cluster_legacy
import time:      2122 |       2122 |     rq
import time:        87 |       2209 |   rq.job
import time:      1938 |       1938 |   sanic
import time:      4479 |       4479 |   sqlalchemy
import time:     12550 |      12550 |             pydantic_core._pydantic_core
import time:     17749 |      17749 |             pydantic_core.core_schema
import time:      8969 |      39267 |           pydantic_core
import time:      3574 |      42841 |         pydantic.version
import time:      4279 |      47119 |       pydantic.warnings
import time:     10230 |      57349 |     pydantic._migration
import time:      5519 |       5519 |         typing_inspection
import time:      4946 |       4946 |         typing_inspection.typing_objects
import time:      9653 |      20116 |       typing_inspection.introspection
import time:      6806 |       6806 |       pydantic._internal
import time:      6085 |       6085 |           pydantic._internal._namespace_utils
import time:      4110 |      10194 |         pydantic._internal._typing_extra
import time:      6633 |      16827 |       pydantic._internal._repr
import time:      5670 |      49418 |     pydantic.errors
import time:      5199 |     111965 |   pydantic
import time:      6278 |       6278 |       pydantic._internal._internal_dataclass
import time:      4567 |      10844 |     pydantic.aliases
import time:      4736 |       4736 |     pydantic.config
import time:      4015 |      19594 |   pydantic._internal._config
import time:      6441 |       6441 |     pydantic._internal._core_utils
import time:      4124 |       4124 |       pydantic._internal._import_utils
import time:      4700 |       8823 |     pydantic._internal._utils
import time:      8220 |      23483 |   pydantic._internal._decorators
import time:      4436 |       4436 |       pydantic._internal._forward_ref
import time:      4496 |       8931 |     pydantic._internal._generics
import time:      7210 |       7210 |     pydantic._internal._docs_extraction
import time:      6356 |      22496 |   pydantic._internal._fields
import time:      4269 |       4269 |       pydantic.plugin
import time:      8251 |      12519 |     pydantic.plugin._schema_validator
import time:      4098 |      16617 |   pydantic._internal._mock_val_ser
import time:      5047 |       5047 |       fractions
import time:      4182 |       4182 |       pydantic.annotated_handlers
import time:      6503 |       6503 |       pydantic.functional_validators
import time:      4040 |       4040 |         pydantic._internal._core_metadata
import time:      3737 |       3737 |         pydantic._internal._schema_generation_shared
import time:      8364 |      16141 |       pydantic.json_schema
import time:      6799 |       6799 |       pydantic._internal._discriminated_union
import time:      4134 |       4134 |       pydantic._internal._known_annotated_metadata
import time:      4141 |       4141 |       pydantic._internal._schema_gather
import time:      4785 |      51729 |     pydantic._internal._generate_schema
import time:      6554 |       6554 |     pydantic._internal._signature
import time:      4287 |      62568 |   pydantic._internal._model_construction
import time:      2279 |       2279 |   starlite
import time:      1830 |       1830 |   strawberry
import time:      4047 |       4047 |   tornado
import time:      1911 |       1911 |   django
import time:      1677 |       1677 |   channels
import time:      1624 |       1624 |   quart
import time:      1612 |       1612 |   redis
import time:      3746 |       3746 |   starlette.templating
import time:      4158 |       4158 |   uwsgi
import time:      1888 |       1888 |   smtplib
import time:       506 |        506 |   email.mime.text
import time:      2195 |       2195 |   imaplib
import time:   1621113 |    8051043 | main
