import time: self [us] | cumulative | imported package
import time:      1962 |       1962 |                     brotli
import time:      4480 |      15589 |                   urllib3.util.request
import time:      3979 |       3979 |                   urllib3.util.response
import time:      6522 |       6522 |                   urllib3.util.retry
import time:        88 |         88 |                       _hmac
import time:      1273 |       1361 |                     hmac
import time:     10302 |      10302 |                     urllib3.util.url
import time:      5158 |       5158 |                     urllib3.util.ssltransport
import time:      4538 |      21358 |                   urllib3.util.ssl_
import time:      4674 |       4674 |                   urllib3.util.wait
import time:      4314 |      68661 |                 urllib3.util
import time:        49 |      68710 |               urllib3.util.connection
import time:      4755 |      73465 |             urllib3._base_connection
import time:      7187 |       7187 |             urllib3._collections
import time:      4046 |       4046 |             urllib3._version
import time:      1196 |       1196 |                 _queue
import time:      1651 |       2847 |               queue
import time:      1323 |       1323 |                     mimetypes
import time:      4082 |       5404 |                   urllib3.fields
import time:      3570 |       8974 |                 urllib3.filepost
import time:      2181 |       2181 |                   brotlicffi
import time:      1737 |       1737 |                   brotli
import time:       689 |        689 |                             zipfile._path.glob
import time:       913 |       1601 |                           zipfile._path
import time:      2288 |       3888 |                         zipfile
import time:       730 |        730 |                         importlib.metadata._meta
import time:       537 |        537 |                         importlib.metadata._collections
import time:       410 |        410 |                         importlib.metadata._functools
import time:       344 |        344 |                         importlib.metadata._itertools
import time:       572 |        572 |                         importlib.abc
import time:      4453 |      10933 |                       importlib.metadata
import time:      3979 |      14911 |                     urllib3.http2
import time:      5772 |       5772 |                     urllib3.http2.probe
import time:      6251 |       6251 |                     urllib3.util.ssl_match_hostname
import time:      4570 |      31504 |                   urllib3.connection
import time:      6648 |      42070 |                 urllib3.response
import time:      6537 |      57580 |               urllib3._request_methods
import time:      4599 |       4599 |               urllib3.util.proxy
import time:      4235 |      69261 |             urllib3.connectionpool
import time:      4775 |       4775 |             urllib3.poolmanager
import time:      5405 |     173778 |           urllib3
import time:      7987 |       7987 |                   ada92cb5d92a588d1b93__mypyc
import time:      4947 |       4947 |                   charset_normalizer.constant
import time:      1252 |       1252 |                     unicodedata
import time:      3869 |       5120 |                   charset_normalizer.utils
import time:      4604 |       4604 |                   charset_normalizer.models
import time:     10488 |      33145 |                 charset_normalizer.cd
import time:        38 |         38 |                 _multibytecodec
import time:      6758 |      39940 |               charset_normalizer.api
import time:      3922 |       3922 |               charset_normalizer.legacy
import time:      5871 |       5871 |               charset_normalizer.version
import time:      2243 |       2243 |               simplejson
import time:       410 |        410 |                     urllib.response
import time:       429 |        838 |                   urllib.error
import time:      1522 |       2359 |                 urllib.request
import time:      2772 |       5131 |               http.cookiejar
import time:      1252 |       1252 |               http.cookies
import time:     13410 |      71766 |             requests.compat
import time:      8874 |      80640 |           requests.exceptions
import time:      1933 |       1933 |           chardet
import time:      5544 |       5544 |                 idna.idnadata
import time:      3684 |       3684 |                 idna.intranges
import time:      5682 |      14909 |               idna.core
import time:      3627 |       3627 |               idna.package_data
import time:      5248 |      23783 |             idna
import time:      6678 |      30460 |           requests.packages
import time:       747 |        747 |                       importlib.resources.abc
import time:      1927 |       2673 |                     importlib.resources._common
import time:      1393 |       1393 |                     importlib.resources._functional
import time:       733 |       4798 |                   importlib.resources
import time:     11684 |      16482 |                 certifi.core
import time:      9482 |      25964 |               certifi
import time:      5916 |      31879 |             requests.certs
import time:      8008 |       8008 |             requests.__version__
import time:      5466 |       5466 |             requests._internal_utils
import time:      7218 |       7218 |             requests._types
import time:      5431 |       5431 |             requests.cookies
import time:      4891 |       4891 |             requests.structures
import time:       892 |        892 |             importlib.resources._adapters
import time:       375 |        375 |                 importlib.resources._itertools
import time:       658 |       1032 |               importlib.resources.readers
import time:       508 |       1539 |             importlib.readers
import time:      4935 |      70256 |           requests.utils
import time:      6310 |       6310 |                 requests.auth
import time:      1366 |       1366 |                     stringprep
import time:       703 |       2069 |                   encodings.idna
import time:      4024 |       4024 |                   requests.hooks
import time:      7300 |       7300 |                   requests.status_codes
import time:      4442 |      17834 |                 requests.models
import time:      5341 |       5341 |                   urllib3.contrib
import time:      2221 |       2221 |                   socks
import time:      9181 |      16741 |                 urllib3.contrib.socks
import time:      4078 |      44962 |               requests.adapters
import time:      4531 |      49492 |             requests.sessions
import time:      7322 |      56814 |           requests.api
import time:      6849 |     420728 |         requests
import time:      3780 |       3780 |           google.auth._agent_identity_utils
import time:      5955 |       5955 |           google.auth._cloud_sdk
import time:      5173 |      14907 |         google.auth.transport._mtls_helper
import time:      4351 |       4351 |         google.oauth2
import time:      5528 |       5528 |               google.auth.crypt.base
import time:      5046 |       5046 |                     cryptography.__about__
import time:      5465 |      10510 |                   cryptography
import time:      4291 |       4291 |                       cryptography.hazmat
import time:      5790 |      10080 |                     cryptography.hazmat.bindings
import time:      8675 |       8675 |                     _cffi_backend
import time:     30575 |      49329 |                   cryptography.hazmat.bindings._rust
import time:      6455 |      66294 |                 cryptography.exceptions
import time:      4841 |       4841 |                 cryptography.hazmat.backends
import time:      4248 |       4248 |                 cryptography.hazmat.primitives
import time:      4044 |       4044 |                   cryptography.utils
import time:      8565 |      12609 |                 cryptography.hazmat.primitives.hashes
import time:      4560 |       4560 |                   cryptography.hazmat.primitives._serialization
import time:      7471 |       7471 |                   cryptography.hazmat.primitives.serialization.base
import time:      4183 |       4183 |                     cryptography.hazmat.primitives.asymmetric
import time:      3917 |       3917 |                       cryptography.hazmat.primitives.asymmetric.utils
import time:      7868 |      11785 |                     cryptography.hazmat.primitives.asymmetric.dsa
import time:      6837 |       6837 |                       cryptography.hazmat._oid
import time:      4696 |      11532 |                     cryptography.hazmat.primitives.asymmetric.ec
import time:      4226 |       4226 |                     cryptography.hazmat.primitives.asymmetric.ed25519
import time:      6078 |       6078 |                       cryptography.hazmat.primitives._asymmetric
import time:      4177 |       4177 |                       cryptography.hazmat.primitives.asymmetric.rsa
import time:      3949 |      14204 |                     cryptography.hazmat.primitives.asymmetric.padding
import time:      3921 |       3921 |                       cryptography.hazmat.primitives._cipheralgorithm
import time:      4966 |       4966 |                               cryptography.hazmat.decrepit
import time:      9201 |      14167 |                             cryptography.hazmat.decrepit.ciphers
import time:      5935 |       5935 |                             cryptography.hazmat.primitives._modes
import time:      6176 |      26277 |                           cryptography.hazmat.decrepit.ciphers.modes
import time:      3913 |       3913 |                             cryptography.hazmat.decrepit.ciphers.algorithms
import time:      4318 |       8230 |                           cryptography.hazmat.primitives.ciphers.algorithms
import time:      4264 |      38770 |                         cryptography.hazmat.primitives.ciphers.modes
import time:      7859 |      46629 |                       cryptography.hazmat.primitives.ciphers.base
import time:      4391 |      54940 |                     cryptography.hazmat.primitives.ciphers
import time:      2129 |       2129 |                     bcrypt
import time:      6715 |     109710 |                   cryptography.hazmat.primitives.serialization.ssh
import time:      4610 |     126349 |                 cryptography.hazmat.primitives.serialization
import time:      5706 |       5706 |                   cryptography.x509.certificate_transparency
import time:      4098 |       4098 |                   cryptography.x509.oid
import time:     13002 |      13002 |                       cryptography.x509.name
import time:      4237 |      17239 |                     cryptography.x509.general_name
import time:      5931 |      23169 |                   cryptography.x509.verification
import time:      3934 |       3934 |                     cryptography.hazmat.primitives.asymmetric.ed448
import time:      6253 |       6253 |                     cryptography.hazmat.primitives.asymmetric.mldsa
import time:      4360 |       4360 |                     cryptography.hazmat.primitives.asymmetric.x448
import time:      4218 |       4218 |                     cryptography.hazmat.primitives.asymmetric.x25519
import time:      4160 |       4160 |                       cryptography.hazmat.primitives.asymmetric.dh
import time:      4103 |       4103 |                       cryptography.hazmat.primitives.asymmetric.mlkem
import time:      6237 |      14499 |                     cryptography.hazmat.primitives.asymmetric.types
import time:      4778 |       4778 |                       cryptography.hazmat.primitives.constant_time
import time:      6495 |      11273 |                     cryptography.x509.extensions
import time:      4891 |      49426 |                   cryptography.x509.base
import time:      5787 |      88184 |                 cryptography.x509
import time:      4553 |       4553 |                       cryptography.hazmat.bindings.openssl
import time:      3998 |       3998 |                         cryptography.hazmat.bindings.openssl._conditional
import time:      7728 |      11725 |                       cryptography.hazmat.bindings.openssl.binding
import time:      6993 |      23270 |                     cryptography.hazmat.backends.openssl.backend
import time:      6542 |      29812 |                   cryptography.hazmat.backends.openssl
import time:        19 |      29830 |                 cryptography.hazmat.backends.openssl.backend
import time:      7183 |     339535 |               google.auth.crypt.es
import time:      4722 |       4722 |               google.auth.crypt.es256
import time:      4202 |       4202 |                 google.auth.crypt._cryptography_rsa
import time:      3977 |       8178 |               google.auth.crypt.rsa
import time:      4553 |     362514 |             google.auth.crypt
import time:      6007 |     368520 |           google.auth._service_account_info
import time:      3868 |       3868 |             google.auth._exponential_backoff
import time:      5058 |       8926 |           google.auth.iam
import time:      6872 |       6872 |             google.auth._cache
import time:      6501 |      13372 |           google.auth.jwt
import time:      3964 |       3964 |           google.oauth2._client
import time:      6105 |     400886 |         google.oauth2.service_account
import time:      6436 |     850558 |       google.auth.transport.requests
import time:      2010 |       2010 |               termios
import time:      1440 |       3449 |             getpass
import time:      7547 |       7547 |                 google.oauth2.webauthn_types
import time:      7281 |      14828 |               google.oauth2.webauthn_handler
import time:      4131 |      18958 |             google.oauth2.webauthn_handler_factory
import time:      4917 |      27323 |           google.oauth2.challenges
import time:      6148 |      33471 |         google.oauth2.reauth
import time:      4529 |      37999 |       google.oauth2.credentials
import time:      6732 |     922482 |     firebase_admin.credentials
import time:      8012 |       8012 |     firebase_admin.__about__
import time:      8112 |    1205942 |   firebase_admin
import time:      5590 |       5590 |         httpx.__version__
import time:      3995 |       3995 |               httpx._exceptions
import time:      4327 |       4327 |                     httpx._types
import time:      6642 |       6642 |                     httpx._utils
import time:      4103 |      15071 |                   httpx._multipart
import time:      4501 |      19572 |                 httpx._content
import time:      1938 |       1938 |                   brotli
import time:      1736 |       1736 |                   brotlicffi
import time:      1703 |       1703 |                   zstandard
import time:      4305 |       9680 |                 httpx._decoders
import time:      7094 |       7094 |                 httpx._status_codes
import time:      4592 |       4592 |                   httpx._urlparse
import time:      4282 |       8873 |                 httpx._urls
import time:      6749 |      51966 |               httpx._models
import time:      4545 |      60505 |             httpx._auth
import time:      7564 |       7564 |             httpx._config
import time:      5338 |       5338 |                   httpx._transports.base
import time:      9962 |      15299 |                 httpx._transports.asgi
import time:      5567 |       5567 |                 httpx._transports.default
import time:      7109 |       7109 |                 httpx._transports.mock
import time:      4276 |       4276 |                 httpx._transports.wsgi
import time:      4727 |      36977 |               httpx._transports
import time:        45 |      37022 |             httpx._transports.base
import time:      7098 |     112187 |           httpx._client
import time:      3672 |     115859 |         httpx._api
import time:      1536 |       1536 |               gettext
import time:      3536 |       3536 |                       sysconfig
import time:      3164 |       3164 |                       _ctypes
import time:       930 |        930 |                       ctypes._endian
import time:      2040 |       9669 |                     ctypes
import time:       502 |        502 |                       ctypes._layout
import time:      1005 |       1507 |                     ctypes.wintypes
import time:      5016 |      16191 |                   click._winconsole
import time:      4362 |      20553 |                 click._compat
import time:      5880 |       5880 |                   click.globals
import time:      4354 |       4354 |                   click.utils
import time:      4856 |      15090 |                 click.exceptions
import time:      8064 |      43705 |               click.types
import time:      3808 |       3808 |               click._utils
import time:      5761 |       5761 |                 click.parser
import time:      4440 |      10201 |               click.formatting
import time:      4102 |       4102 |               click.termui
import time:      7234 |      70583 |             click.core
import time:      3875 |       3875 |             click.decorators
import time:      8507 |      82964 |           click
import time:      2857 |       2857 |             pygments
import time:        39 |       2896 |           pygments.lexers
import time:      4797 |      90656 |         httpx._main
import time:      8189 |     220293 |       httpx
import time:      4964 |       4964 |       firebase_admin.exceptions
import time:      3923 |     229179 |     firebase_admin._utils
import time:      7445 |       7445 |         google.cloud.firestore_v1.gapic_version
import time:      4162 |       4162 |                 google.protobuf
import time:      3998 |       3998 |                     google.protobuf.internal
import time:      1060 |       1060 |                       google.protobuf.internal._api_implementation
import time:      4147 |       4147 |                       google.protobuf.message
import time:      5843 |       5843 |                       google.protobuf.internal.enum_type_wrapper
import time:       814 |        814 |                       google.protobuf.enable_deterministic_proto_serialization
import time:     16589 |      28451 |                     google.protobuf.internal.api_implementation
import time:      4710 |      37158 |                   google.protobuf.descriptor
import time:      3647 |       3647 |                     google.protobuf.descriptor_database
import time:      6148 |       6148 |                     google.protobuf.text_encoding
import time:      3916 |       3916 |                     google.protobuf.internal.python_edition_defaults
import time:      1839 |       1839 |                         encodings.raw_unicode_escape
import time:       575 |        575 |                         encodings.unicode_escape
import time:      1203 |       1203 |                               _compat_pickle
import time:       127 |        127 |                               _pickle
import time:      1709 |       3038 |                             pickle
import time:      4241 |       7278 |                           google.protobuf.internal.containers
import time:      3969 |       3969 |                             google.protobuf.internal.wire_format
import time:      6731 |      10700 |                           google.protobuf.internal.encoder
import time:      4522 |      22499 |                         google.protobuf.internal.decoder
import time:      4348 |       4348 |                         google.protobuf.internal.type_checkers
import time:      7016 |       7016 |                         google.protobuf.unknown_fields
import time:      6798 |      43073 |                       google.protobuf.text_format
import time:      4720 |       4720 |                       google.protobuf.internal.extension_dict
import time:      4237 |       4237 |                       google.protobuf.internal.message_listener
import time:      3967 |       3967 |                         google.protobuf.internal.field_mask
import time:      6661 |      10627 |                       google.protobuf.internal.well_known_types
import time:      4171 |      66826 |                     google.protobuf.internal.python_message
import time:      4136 |      84670 |                   google.protobuf.descriptor_pool
import time:      4056 |       4056 |                   google.protobuf.runtime_version
import time:      4096 |       4096 |                       google.protobuf.pyext
import time:      5242 |       5242 |                       google.protobuf.pyext.cpp_message
import time:      5516 |      14853 |                     google.protobuf.message_factory
import time:      4241 |      19094 |                   google.protobuf.symbol_database
import time:      3624 |       3624 |                     google.protobuf.reflection
import time:      6145 |       9769 |                   google.protobuf.internal.builder
import time:      9943 |     164688 |                 google.protobuf.descriptor_pb2
import time:      3820 |       3820 |                           google.protobuf.duration_pb2
import time:      5324 |       5324 |                           google.protobuf.field_mask_pb2
import time:      5252 |       5252 |                           google.protobuf.struct_pb2
import time:      4425 |       4425 |                           google.protobuf.timestamp_pb2
import time:      4564 |       4564 |                           google.protobuf.wrappers_pb2
import time:       913 |        913 |                             google.protobuf.pyext._message
import time:      6025 |       6937 |                           proto.marshal.compat
import time:      5448 |       5448 |                               proto.utils
import time:      5290 |      10738 |                             proto.marshal.collections.maps
import time:      4668 |       4668 |                             proto.marshal.collections.repeated
